review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000013,ORD-20251114-525123,CUST-10455,REST-AUH-001,Exceptional quality! Ordered Jeera Rice and Palak Paneer and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2025-11-15T16:24:14.695381
REV-000015,ORD-20251115-526165,CUST-10107,REST-AUH-001,Mediocre. Gulab Jamun (2 pcs)  Butter Chicken  and Tandoori Roti were fine but forgettable. Butter Chicken didn't stand out.,3,2025-11-17T17:12:47.695381
REV-000014,ORD-20251115-867387,CUST-10194,REST-SHJ-001,Best Indian food in UAE! Fish Curry and Gulab Jamun (2 pcs) were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2025-11-18T14:36:13.695381
REV-000011,ORD-20251114-902573,CUST-10142,REST-AUH-002,Poor experience. Aloo Tikki Chaat were disappointing. Aloo Tikki Chaat was burnt on the edges. Very unhappy.,2,2025-11-20T10:03:41.695381
REV-000012,ORD-20251114-576353,CUST-10422,REST-AUH-002,Outstanding experience! The Garlic Naan exceeded all expectations. Garlic Naan was the star of the meal. Will definitely order again!,5,2025-11-21T14:11:48.695381
REV-000016,ORD-20251116-415031,CUST-10195,REST-AUH-002,It was okay. Rasmalai (2 pcs) arrived lukewarm. Rasmalai (2 pcs) tasted fine but could be better.,3,2025-11-22T14:42:18.695381
REV-000017,ORD-20251119-587194,CUST-10322,REST-DXB-001,Wow! Just wow! Lamb Rogan Josh  Chole Bhature  and Palak Paneer were all fantastic. Palak Paneer was particularly memorable. Can't wait to order again!,5,2025-11-23T19:07:22.695381
REV-000019,ORD-20251122-127129,CUST-10348,REST-DXB-002,Absolutely amazing Lamb Rogan Josh and Butter Naan! The Butter Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-24T12:10:55.695381
REV-000020,ORD-20251123-653882,CUST-10023,REST-DXB-001,Best Indian food in UAE! Kulfi  Butter Chicken  Chicken 65  and Fish Curry were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2025-11-25T16:49:54.695381
REV-000018,ORD-20251121-556326,CUST-10485,REST-SHJ-001,Great food overall. Jeera Rice  Chicken 65  and Kulfi were tasty  especially the Kulfi. Would order again!,4,2025-11-26T10:29:21.695381
REV-000021,ORD-20251125-992020,CUST-10198,REST-SHJ-001,Solid experience. Mango Lassi and Chicken 65 were well-prepared. Chicken 65 had great flavor. Minor issues with packaging.,4,2025-11-27T12:39:16.695381
REV-000022,ORD-20251203-637711,CUST-10133,REST-DXB-002,Incredible meal! Mango Lassi  Gajar Halwa  and Sweet Lassi arrived hot and fresh. The Mango Lassi was absolutely divine. Highly satisfied!,5,2025-12-06T14:17:04.695381
REV-000023,ORD-20251205-777053,CUST-10272,REST-AUH-002,Best Indian food in UAE! Naan were incredible. Naan had the perfect balance of spices. Five stars!,5,2025-12-09T20:56:19.695381
REV-000024,ORD-20251208-648417,CUST-10449,REST-AUH-002,Pleasant meal! Garlic Naan  Chicken Seekh Kebab  Dal Makhani  Paneer Butter Masala  and Masala Chai arrived warm. Paneer Butter Masala was tasty though not exceptional. Would order again.,4,2025-12-13T22:41:58.695381
REV-000030,ORD-20251215-912578,CUST-10002,REST-AUH-002,Expected better. Aloo Tikki Chaat  Butter Chicken  and Fish Curry were subpar. Fish Curry was too oily and greasy. Stomach upset followed.,2,2025-12-16T14:32:20.695381
REV-000025,ORD-20251210-914391,CUST-10446,REST-DXB-002,Enjoyed the Fresh Lime Soda! Fresh Lime Soda was very good. Portion sizes were generous. Recommend!,4,2025-12-16T19:36:19.695381
REV-000026,ORD-20251211-993775,CUST-10041,REST-DXB-002,Perfect in every way! Jeera Rice  Dal Makhani  Tandoori Roti  Paneer Butter Masala  and Gajar Halwa were all excellent. Paneer Butter Masala stood out with its rich  authentic taste.,5,2025-12-17T21:39:51.695381
REV-000027,ORD-20251211-741679,CUST-10178,REST-AUH-002,Perfect in every way! Chole Bhature were all excellent. Chole Bhature stood out with its rich  authentic taste.,5,2025-12-17T21:49:32.695381
REV-000028,ORD-20251214-713183,CUST-10468,REST-DXB-002,Best Indian food in UAE! Mango Lassi  Chicken Tikka Masala  and Tandoori Roti were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2025-12-18T20:55:15.695381
REV-000031,ORD-20251218-248805,CUST-10077,REST-DXB-002,Hands down the best Fish Curry I've ever had! Gulab Jamun (2 pcs)  Fish Curry  Chicken Tikka Masala  Paneer Tikka  and Butter Chicken were all prepared beautifully. Fresh and flavorful!,5,2025-12-19T21:00:06.695381
REV-000029,ORD-20251215-840088,CUST-10202,REST-SHJ-001,Absolutely amazing Chicken Biryani  Chicken 65  and Gulab Jamun (2 pcs)! The Chicken Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-22T10:56:19.695381
REV-000032,ORD-20251219-789991,CUST-10111,REST-AUH-002,Absolutely amazing Gajar Halwa  Kulfi  and Chicken Seekh Kebab! The Kulfi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-22T14:47:29.695381
REV-000033,ORD-20251221-925821,CUST-10279,REST-AUH-002,Really good Jeera Rice! The Jeera Rice was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-23T20:44:01.695381
REV-000034,ORD-20251222-257790,CUST-10295,REST-AUH-002,Perfect in every way! Aloo Tikki Chaat were all excellent. Aloo Tikki Chaat stood out with its rich  authentic taste.,5,2025-12-25T16:46:20.695381
REV-000035,ORD-20251224-682685,CUST-10454,REST-AUH-001,Absolutely horrible! Dal Makhani arrived ice cold after 2 hour delay. Dal Makhani was spoiled. Disgusting!,1,2025-12-31T22:41:45.695381
REV-000036,ORD-20251225-895655,CUST-10447,REST-DXB-002,Incredible meal! Masala Chai arrived hot and fresh. The Masala Chai was absolutely divine. Highly satisfied!,5,2026-01-01T10:40:03.695381
REV-000038,ORD-20260101-794792,CUST-10243,REST-AUH-002,Mediocre. Paneer Butter Masala  Dal Makhani  Garlic Naan  Chicken Seekh Kebab  and Tandoori Roti were fine but forgettable. Dal Makhani didn't stand out.,3,2026-01-03T22:54:52.695381
REV-000037,ORD-20251231-143570,CUST-10456,REST-DXB-002,Unsatisfactory. Butter Naan were not fresh. Butter Naan tasted reheated. Won't order again.,2,2026-01-04T14:28:27.695381
REV-000039,ORD-20260102-603790,CUST-10349,REST-DXB-001,Best Indian food in UAE! Aloo Tikki Chaat  Garlic Naan  and Fish Curry were incredible. Garlic Naan had the perfect balance of spices. Five stars!,5,2026-01-04T15:12:05.695381
REV-000040,ORD-20260105-226740,CUST-10415,REST-AUH-002,Outstanding experience! The Jeera Rice  Malai Kofta  and Tandoori Roti exceeded all expectations. Malai Kofta was the star of the meal. Will definitely order again!,5,2026-01-07T22:39:41.695381
REV-000041,ORD-20260107-617848,CUST-10334,REST-DXB-002,Good quality food. Butter Naan and Naan were nicely done. Butter Naan could have been slightly spicier but still good!,4,2026-01-14T11:20:36.695381
REV-000044,ORD-20260110-403945,CUST-10146,REST-DXB-002,Terrible experience! Sweet Lassi and Naan were all inedible. Naan was completely burnt. Waste of money!,1,2026-01-14T21:09:03.695381
REV-000043,ORD-20260110-600379,CUST-10260,REST-AUH-002,Outstanding experience! The Butter Naan and Chole Bhature exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2026-01-15T15:07:17.695381
REV-000045,ORD-20260111-809778,CUST-10473,REST-DXB-002,Outstanding experience! The Chicken Biryani  Malai Kofta  and Fresh Lime Soda exceeded all expectations. Chicken Biryani was the star of the meal. Will definitely order again!,5,2026-01-15T20:18:36.695381
REV-000042,ORD-20260110-236791,CUST-10023,REST-DXB-001,Not good. Aloo Tikki Chaat  Chole Bhature  Butter Naan  Tandoori Roti  and Kulfi arrived late and cold. Aloo Tikki Chaat had barely any flavor. Poor quality.,2,2026-01-16T10:06:48.695381
REV-000046,ORD-20260121-276713,CUST-10458,REST-SHJ-001,Absolutely amazing Fish Curry and Rasmalai (2 pcs)! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-28T10:18:50.695381
REV-000047,ORD-20260128-162361,CUST-10163,REST-AUH-002,Really good Dal Makhani  Chole Bhature  Malai Kofta  Gulab Jamun (2 pcs)  and Aloo Tikki Chaat! The Dal Makhani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-31T13:03:48.695381
REV-000050,ORD-20260208-522476,CUST-10220,REST-DXB-001,Below expectations. Butter Naan  Tandoori Roti  and Chicken 65 were underwhelming. Butter Naan was overcooked and dry.,2,2026-02-11T15:34:57.695381
REV-000049,ORD-20260207-804110,CUST-10042,REST-DXB-001,Not good. Sweet Lassi  Chicken 65  Tandoori Roti  and Chole Bhature arrived late and cold. Sweet Lassi had barely any flavor. Poor quality.,2,2026-02-12T19:36:10.695381
REV-000048,ORD-20260206-885585,CUST-10487,REST-AUH-002,Perfect in every way! Samosa (2 pcs) were all excellent. Samosa (2 pcs) stood out with its rich  authentic taste.,5,2026-02-13T17:21:57.695381
REV-000051,ORD-20260211-280817,CUST-10108,REST-DXB-001,Wow! Just wow! Tandoori Roti  Chicken Tikka Masala  Kulfi  Butter Naan  and Gulab Jamun (2 pcs) were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2026-02-16T14:08:48.695381
REV-000052,ORD-20260216-306711,CUST-10159,REST-DXB-002,Exceptional quality! Ordered Sweet Lassi  Naan  Butter Chicken  and Samosa (2 pcs) and everything was delicious. The Butter Chicken melted in my mouth. Perfect!,5,2026-02-18T16:18:55.695381
REV-000055,ORD-20260221-604695,CUST-10277,REST-AUH-002,Expected better. Fish Curry  Chicken Biryani  and Fresh Lime Soda were subpar. Fish Curry was too oily and greasy. Stomach upset followed.,2,2026-02-23T18:16:23.695381
REV-000056,ORD-20260221-269536,CUST-10460,REST-AUH-001,Incredible meal! Chicken Biryani  Dal Makhani  and Naan arrived hot and fresh. The Dal Makhani was absolutely divine. Highly satisfied!,5,2026-02-25T20:04:40.695381
REV-000053,ORD-20260219-122771,CUST-10065,REST-DXB-001,Best Indian food in UAE! Kulfi  Naan  and Chicken Tikka Masala were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2026-02-26T16:20:31.695381
REV-000054,ORD-20260220-273818,CUST-10495,REST-DXB-001,Average experience. Samosa (2 pcs) and Fish Curry were fine but Samosa (2 pcs) was a bit bland. Room for improvement.,3,2026-02-26T18:49:13.695381
REV-000057,ORD-20260224-715846,CUST-10195,REST-AUH-001,Pleasant meal! Palak Paneer arrived warm. Palak Paneer was tasty though not exceptional. Would order again.,4,2026-03-03T10:57:15.695381
REV-000060,ORD-20260311-565623,CUST-10063,REST-AUH-002,Wow! Just wow! Paneer Butter Masala and Fresh Lime Soda were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2026-03-14T19:50:28.695381
REV-000062,ORD-20260315-962654,CUST-10149,REST-AUH-001,Mediocre. Palak Paneer  Gajar Halwa  Kulfi  Jeera Rice  and Chole Bhature were fine but forgettable. Jeera Rice didn't stand out.,3,2026-03-16T15:53:41.695381
REV-000058,ORD-20260310-454380,CUST-10395,REST-DXB-001,Good quality food. Chicken Tikka Masala  Naan  Gajar Halwa  and Paneer Butter Masala were nicely done. Naan could have been slightly spicier but still good!,4,2026-03-16T16:48:40.695381
REV-000061,ORD-20260314-657672,CUST-10272,REST-DXB-001,Exceptional quality! Ordered Paneer Butter Masala  Masala Chai  and Garlic Naan and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2026-03-18T13:36:03.695381
REV-000059,ORD-20260311-486636,CUST-10149,REST-DXB-001,Mediocre. Tandoori Roti  Rasmalai (2 pcs)  Naan  and Aloo Tikki Chaat were fine but forgettable. Aloo Tikki Chaat didn't stand out.,3,2026-03-18T14:54:42.695381
REV-000066,ORD-20260318-545892,CUST-10086,REST-AUH-001,Unsatisfactory. Sweet Lassi  Chicken 65  and Masala Chai were not fresh. Masala Chai tasted reheated. Won't order again.,2,2026-03-20T20:09:49.695381
REV-000065,ORD-20260318-171396,CUST-10109,REST-DXB-001,Solid experience. Vegetable Biryani were well-prepared. Vegetable Biryani had great flavor. Minor issues with packaging.,4,2026-03-22T12:06:33.695381
REV-000063,ORD-20260317-853186,CUST-10315,REST-DXB-002,Perfect in every way! Chicken Biryani were all excellent. Chicken Biryani stood out with its rich  authentic taste.,5,2026-03-24T11:05:06.695381
REV-000064,ORD-20260317-442555,CUST-10320,REST-SHJ-001,Mediocre. Masala Chai and Jeera Rice were fine but forgettable. Masala Chai didn't stand out.,3,2026-03-24T17:46:01.695381
REV-000067,ORD-20260321-822132,CUST-10118,REST-AUH-001,Unsatisfactory. Samosa (2 pcs)  Chicken Biryani  Gulab Jamun (2 pcs)  and Vegetable Biryani were not fresh. Vegetable Biryani tasted reheated. Won't order again.,2,2026-03-27T14:41:27.695381
REV-000068,ORD-20260327-558889,CUST-10065,REST-AUH-001,Hands down the best Aloo Tikki Chaat I've ever had! Jeera Rice  Samosa (2 pcs)  and Aloo Tikki Chaat were all prepared beautifully. Fresh and flavorful!,5,2026-03-30T15:14:02.695381
REV-000069,ORD-20260327-881913,CUST-10145,REST-DXB-001,Hands down the best Mango Lassi I've ever had! Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-04-03T18:54:02.695381
REV-000070,ORD-20260328-747965,CUST-10040,REST-SHJ-001,Average experience. Vegetable Biryani  Kulfi  and Chole Bhature were fine but Chole Bhature was a bit bland. Room for improvement.,3,2026-04-04T17:50:02.695381
REV-000071,ORD-20260404-865568,CUST-10420,REST-AUH-001,Perfect in every way! Aloo Tikki Chaat and Malai Kofta were all excellent. Malai Kofta stood out with its rich  authentic taste.,5,2026-04-07T20:22:31.695381
REV-000072,ORD-20260408-693653,CUST-10260,REST-SHJ-001,Outstanding experience! The Kulfi  Fresh Lime Soda  Malai Kofta  and Rasmalai (2 pcs) exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2026-04-12T10:15:45.695381
REV-000074,ORD-20260409-834072,CUST-10464,REST-DXB-001,Great food overall. Kulfi were tasty  especially the Kulfi. Would order again!,4,2026-04-13T22:41:06.695381
REV-000075,ORD-20260410-354971,CUST-10287,REST-AUH-001,Exceptional quality! Ordered Masala Chai and everything was delicious. The Masala Chai melted in my mouth. Perfect!,5,2026-04-14T20:49:05.695381
REV-000073,ORD-20260408-847067,CUST-10297,REST-DXB-001,Incredible meal! Chicken Tikka Masala  Jeera Rice  Lamb Rogan Josh  and Butter Chicken arrived hot and fresh. The Chicken Tikka Masala was absolutely divine. Highly satisfied!,5,2026-04-15T15:32:49.695381
REV-000077,ORD-20260416-437605,CUST-10460,REST-DXB-002,Average experience. Chole Bhature  Aloo Tikki Chaat  and Chicken Biryani were fine but Chicken Biryani was a bit bland. Room for improvement.,3,2026-04-17T22:05:54.695381
REV-000076,ORD-20260414-336042,CUST-10370,REST-DXB-001,Worst food ever! Vegetable Biryani  Fish Curry  Sweet Lassi  Jeera Rice  and Chicken 65 were all wrong. Chicken 65 made me sick. Never ordering again!,1,2026-04-20T15:54:36.695381
REV-000078,ORD-20260419-716142,CUST-10012,REST-SHJ-001,Exceptional quality! Ordered Malai Kofta  Paneer Tikka  and Paneer Butter Masala and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2026-04-26T22:40:28.695381
